enrichment_resnet_vanilla,40.806,62.086,71.272,76.026,78.734,80.92,82.078,82.92,83.946,84.23,84.92,85.138,85.556,85.924,85.998,86.112,86.29,86.642,86.688,87.04,86.946,87.338,87.394,87.382,87.398,87.464,87.614,87.578,87.814,87.604,87.518,87.684,88.16,87.918,88.032,87.962,88.008,87.974,88.214,88.32,87.862,88.29,88.432,88.174,88.284,88.252,88.114,88.514,88.616,88.432,88.324,88.324,88.582,88.582,88.224,88.156,88.314,88.706,88.574,88.702,88.562,88.738,88.676,88.626,88.466,88.558,88.33,88.538,88.738,88.694,88.78,88.464,88.536,88.638,88.562,88.562,88.776,88.584,88.742,88.612,88.308,88.774,88.684,88.61,88.728,88.828,88.722,88.674,88.482,88.802,88.51,88.622,88.578,88.708,88.758,88.572,88.672,88.668,88.76,88.718,88.89,88.648,88.762,88.696,88.832,88.74,88.646,88.472,88.958,88.816,88.686,88.876,88.352,88.934,88.648,88.612,88.678,88.762,88.654,88.928,88.658,88.98,88.854,88.654,88.846,88.604,88.578,88.814,88.95,88.966,88.76,88.39,88.738,88.924,88.556,88.762,88.88,88.678,89.1,88.838,88.836,88.83,88.69,88.81,88.868,88.888,88.682,88.888,88.704,88.984,88.806,88.646,88.68,88.746,89.006,88.654,88.698,88.916,88.788,88.594,88.914,88.668,88.906,88.696,88.652,89.034,88.922,88.776,88.596,88.75,88.868,88.864,88.808,88.742,88.806,88.838,88.35,88.828,88.98,88.722,88.692,88.722,88.788,88.556,88.782,88.8,88.798,88.638,88.888,88.706,88.392,88.738,88.588,88.926,88.79,88.82,88.734,88.738,88.942,88.48
enrichment_resnet_random_cropping,36.038,55.016,66.268,72.174,75.362,77.122,78.572,79.452,80.196,80.498,81.118,81.61,81.878,82.092,82.484,82.522,82.56,82.918,83.056,83.248,83.654,83.652,83.652,83.504,83.968,84.116,84.004,84.126,84.244,84.264,84.266,84.39,84.416,84.444,84.396,84.642,84.686,84.568,84.8,84.584,84.564,84.64,84.624,84.924,84.778,84.7,84.988,85.172,84.656,84.802,84.832,84.968,84.812,84.91,85.208,84.742,85.014,84.902,84.996,84.978,85.198,84.996,85.104,85.234,84.802,84.948,84.992,85.182,85.096,85.126,85.25,85.094,84.892,85.13,85.162,85.152,85.034,85.01,85.052,85.118,85.046,85.36,84.918,85.362,85.148,85.3,85.452,85.106,85.07,85.152,85.276,85.228,85.35,85.232,85.35,85.124,85.224,85.126,85.134,85.272,85.388,85.32,85.328,85.28,85.398,85.302,85.188,85.184,85.454,85.286,85.292,85.236,85.502,85.384,85.316,85.302,85.41,85.448,85.56,85.15,85.296,85.25,85.082,85.27,85.362,84.952,84.976,85.338,85.16,85.406,85.078,85.372,85.286,85.392,85.392,85.414,85.532,85.08,85.302,85.468,85.026,85.336,85.17,85.134,85.36,85.468,85.422,85.23,85.422,85.398,85.466,85.06,85.518,85.226,85.364,85.582,85.676,85.198,85.572,85.212,85.41,85.512,85.372,85.452,85.432,85.546,85.386,85.486,85.134,85.142,85.54,85.354,85.612,85.4,85.462,85.492,85.42,85.446,85.1,85.288,85.222,85.456,85.364,85.284,85.398,85.322,85.204,85.234,85.418,85.58,85.484,85.35,85.282,85.302,85.374,85.548,85.6,85.372,85.45,85.466
enrichment_resnet_random_affine,19.026,24.516,27.548,29.794,30.978,32.104,32.708,33.428,34.252,34.378,35.004,35.62,36.142,36.452,36.714,36.928,37.102,36.782,37.602,37.192,37.91,37.534,37.638,38.01,37.97,37.37,38.062,38.068,38.156,38.284,38.244,38.4,38.556,38.562,38.918,38.28,38.376,38.592,38.384,38.736,39.046,39.042,38.426,38.906,38.612,38.496,38.694,38.63,38.924,38.622,38.816,39.058,39.41,38.56,38.824,39.092,38.658,39.004,39.012,39.324,38.848,38.758,39.04,39.03,38.82,38.904,39.342,39.186,38.974,38.94,38.934,39.218,38.894,38.918,38.81,38.916,38.626,38.88,38.758,39.09,39.092,39.286,39.09,39.122,39.224,39.276,38.952,39.076,38.748,39.372,39.616,39.328,39.084,39.12,39.214,38.718,39.204,38.706,38.986,39.222,38.986,39.146,39.398,39.166,39.322,39.138,39.216,39.23,39.388,38.94,39.456,39.144,39.278,39.142,39.438,39.28,39.384,39.046,39.474,39.194,39.212,38.988,39.556,39.19,39.444,39.04,39.302,39.444,39.282,39.554,39.388,39.138,39.444,39.266,39.014,39.094,39.076,39.51,39.98,39.486,39.25,39.566,39.244,39.242,39.486,39.632,39.64,39.55,39.802,39.188,39.294,39.382,39.082,39.476,39.38,39.198,39.32,39.04,39.284,39.222,39.19,38.91,39.402,39.266,39.794,39.324,39.61,39.158,39.51,39.406,39.412,39.212,39.176,39.726,39.5,39.346,39.07,39.296,39.368,39.35,39.82,39.728,39.558,39.356,39.454,39.036,39.482,39.298,39.222,39.258,39.286,39.82,39.534,39.538,39.322,39.528,39.396,39.224,39.516,39.26
enrichment_resnet_random_property,33.918,63.014,71.28,74.848,76.638,78.386,79.514,80.32,80.992,81.272,82.006,82.516,82.926,83.066,83.318,83.402,83.484,83.616,83.61,84.374,83.798,84.234,84.582,84.546,84.476,84.478,84.6,84.75,84.486,84.472,84.776,84.668,84.922,84.996,85.104,85.03,85.03,84.956,85.128,85.162,85.42,85.238,85.394,85.078,85.102,85.41,85.268,85.234,85.378,85.442,85.426,85.662,85.224,85.532,85.348,85.588,85.562,85.164,85.574,85.574,85.45,85.544,85.734,85.316,85.66,85.478,85.418,85.632,85.582,85.8,85.594,85.43,85.592,85.788,85.76,85.952,85.54,85.878,86.126,85.44,86.042,85.672,85.5,85.542,85.686,85.558,85.94,85.52,85.524,85.644,85.55,86.07,85.496,85.68,86.03,85.808,85.838,85.866,85.582,85.992,85.462,85.486,85.65,85.858,85.922,85.95,85.948,85.894,86.174,85.704,85.818,86.04,85.63,85.958,85.902,85.84,85.768,85.946,85.784,85.796,86.03,85.806,85.982,85.63,85.812,85.89,85.982,86.004,85.62,85.638,85.86,85.83,85.8,85.642,85.654,85.884,85.938,86.024,85.918,85.706,85.746,85.934,85.846,85.624,85.716,85.928,85.856,86.034,85.856,86.02,85.768,86.002,86.038,86.132,85.768,86.106,85.888,85.75,85.902,85.828,85.98,86.126,85.804,86.106,85.868,85.85,85.726,86.164,85.872,85.808,85.846,85.842,86.262,85.764,86.022,85.792,85.854,85.996,86.076,85.948,86.03,85.932,85.768,85.832,85.726,85.71,85.952,85.842,85.916,85.872,85.936,85.86,86.004,85.91,85.79,85.958,85.92,86.138,85.892,85.998
enrichment_resnet_all,11.516,12.84,13.618,14.08,15.472,16.568,17.022,18.702,20.29,21.868,22.44,23.15,23.436,23.212,23.81,24.02,23.87,23.856,24.498,24.528,24.562,24.436,24.724,24.908,25.148,25.282,25.312,25.33,25.716,25.084,25.314,25.904,25.828,25.846,25.368,25.854,25.364,26.032,25.602,25.836,25.892,25.752,25.996,26.044,25.95,25.42,25.832,26.1,25.716,25.798,26.564,26.154,26.462,26.48,26.566,26.508,26.168,26.184,26.464,26.526,26.166,26.394,26.086,26.61,26.528,26.118,26.444,26.584,26.656,26.552,26.406,26.452,26.58,26.63,26.258,26.484,26.174,26.332,26.372,26.462,26.528,26.612,26.49,26.452,26.798,26.458,26.178,26.54,27.096,26.574,26.708,26.732,27.186,26.16,26.576,26.534,26.802,26.722,26.73,26.314,26.674,26.77,26.574,26.824,26.95,26.822,26.56,26.744,26.986,26.998,26.97,26.964,26.732,26.918,26.506,26.48,26.986,26.8,26.852,27.088,26.702,27.044,26.918,26.544,26.522,26.702,26.806,26.85,26.864,26.66,26.396,27.042,26.706,26.65,26.798,26.82,26.732,26.502,26.852,26.656,26.846,26.948,27.102,26.506,26.808,27.092,26.432,26.96,26.714,26.67,27.058,26.802,26.54,27.052,26.796,27.012,27.218,27.084,27.086,26.746,26.628,26.696,26.978,27.026,27.082,27.252,26.706,27.096,26.78,26.782,26.688,26.504,26.624,26.83,26.762,27.094,26.746,26.902,26.67,26.906,26.754,26.682,26.924,26.688,26.772,26.764,26.604,26.98,26.64,26.852,26.75,26.876,26.502,26.892,26.968,27.098,26.938,26.818,26.874,26.684
enrichment_googlenet_vanilla,46.1,65.558,73.536,76.514,78.124,79.244,80.238,81.03,81.674,81.85,82.602,82.9,83.254,83.482,83.72,83.97,83.954,84.258,84.32,84.6,84.65,84.798,84.746,85.13,85.058,85.082,85.33,85.424,85.518,85.442,85.67,85.698,85.636,85.77,85.762,86.008,85.674,85.882,86.148,86.132,85.95,86.086,86.058,86.128,86.026,86.424,85.838,86.116,86.35,86.336,86.198,86.332,86.412,86.502,86.464,86.616,86.568,86.732,86.316,86.502,86.73,86.382,86.79,86.662,86.484,86.758,86.644,86.542,86.812,86.806,86.846,86.85,86.676,86.68,86.702,86.71,86.718,86.94,86.91,86.67,86.972,86.962,87.008,86.892,86.798,87.198,86.876,86.902,86.648,86.944,87.064,86.786,86.76,86.902,86.82,86.976,87.058,86.952,86.768,87.018,86.78,86.878,86.786,87.008,87.14,87.066,86.8,86.984,86.874,86.996,86.8,87.024,86.754,87.106,86.826,86.866,87.12,87.064,87.116,87.114,87.064,86.644,87.04,87.052,86.934,87.096,86.844,86.916,87.002,86.86,86.98,86.888,87.07,87.102,87.018,87.054,86.952,86.836,87.094,87.074,86.984,87.038,86.934,87.002,86.978,87.184,87.132,87.124,86.986,87.0,87.148,87.012,87.264,86.892,87.062,87.154,87.086,86.988,87.226,86.972,87.02,87.146,87.112,87.012,87.094,87.256,86.966,87.122,86.962,87.186,87.206,87.062,87.198,87.006,87.242,87.192,87.132,87.44,87.06,86.99,87.148,87.166,86.888,87.172,87.24,87.162,87.184,87.202,87.068,87.228,87.384,87.052,87.14,87.082,87.218,87.068,87.246,87.066,87.128,87.09
enrichment_googlenet_random_cropping,44.35,64.094,70.944,74.6,76.004,77.234,78.368,78.736,79.356,79.856,80.388,80.642,80.914,81.486,81.618,81.62,81.966,82.33,82.41,82.59,83.0,82.774,82.974,82.976,83.214,83.5,83.48,83.526,83.656,83.366,83.73,83.672,83.734,83.68,83.856,84.212,84.45,84.006,84.334,84.144,84.046,84.412,84.202,84.036,84.184,84.212,84.184,84.626,84.462,84.29,84.284,84.34,84.234,84.668,84.198,84.396,84.566,84.2,84.544,84.696,84.406,84.542,84.656,84.42,84.718,84.564,84.52,84.624,84.606,84.698,84.704,84.61,84.68,84.852,84.584,84.556,84.82,84.836,84.654,84.38,84.784,84.87,84.578,84.95,84.55,84.786,84.652,84.916,84.604,84.888,85.01,84.632,84.7,84.726,84.806,84.778,84.814,84.716,84.746,84.972,84.79,85.016,85.006,85.038,84.754,85.062,84.918,85.046,85.028,85.082,84.854,85.18,85.212,85.014,84.992,84.862,84.896,85.042,85.126,85.042,85.15,84.858,85.004,84.636,84.912,85.03,84.842,84.904,85.224,85.048,85.046,84.96,84.954,85.026,84.928,85.072,85.0,84.812,85.038,84.888,85.118,84.886,85.002,85.044,85.006,85.152,84.99,85.128,85.126,84.772,85.068,84.924,85.03,84.938,84.982,84.924,85.0,84.98,84.962,85.006,84.832,85.038,85.054,85.104,85.252,85.034,84.908,85.15,84.938,85.292,85.156,85.074,85.036,84.966,85.168,85.078,84.916,85.05,84.89,85.024,84.89,85.362,85.238,85.308,85.018,85.29,85.05,84.76,85.092,84.932,85.058,85.018,85.016,85.068,84.92,85.08,85.17,85.362,84.836,85.134
enrichment_googlenet_random_affine,21.56,27.04,30.598,32.006,33.992,34.772,35.534,35.99,36.414,36.742,36.822,37.754,37.474,37.768,38.232,38.306,38.802,38.752,39.166,39.092,39.166,39.232,39.46,39.154,39.582,39.944,39.89,39.738,39.416,39.816,40.182,39.842,40.646,40.25,40.442,40.788,40.022,40.472,40.478,39.986,40.392,40.562,40.834,40.558,40.482,40.636,41.02,40.534,40.268,40.69,40.336,40.978,40.84,40.962,41.006,40.81,40.766,40.794,40.568,40.864,40.688,40.664,40.67,40.932,41.016,41.112,41.07,41.254,41.034,40.856,41.288,40.938,40.91,41.064,40.73,41.138,40.988,40.996,41.022,41.008,41.288,41.238,41.116,41.338,41.144,40.896,41.122,41.22,41.238,41.196,41.034,40.93,41.12,40.684,40.816,41.214,40.962,40.89,40.982,41.382,41.202,41.074,41.23,41.086,41.046,40.852,41.212,40.954,41.286,40.838,41.054,41.102,41.334,41.278,41.478,40.972,41.468,40.6,40.954,41.128,41.162,40.89,40.916,41.446,40.996,40.682,40.84,41.11,41.068,40.92,40.648,41.124,41.39,40.938,40.988,41.026,40.658,40.738,40.78,41.16,41.358,41.178,41.09,41.412,40.812,41.106,40.942,40.974,40.974,40.818,40.408,40.734,40.8,40.702,41.148,40.984,41.146,41.196,40.976,40.696,41.012,41.14,40.708,41.214,41.134,41.026,41.05,40.998,40.586,41.296,40.73,41.244,40.712,41.058,40.578,40.992,41.0,40.612,40.766,40.874,41.08,40.878,40.844,41.044,41.08,40.822,41.0,40.792,41.266,40.718,40.892,40.556,41.238,40.796,40.952,40.866,40.612,40.85,41.218,41.016
enrichment_googlenet_random_property,39.606,64.018,71.474,74.37,75.778,77.184,77.996,78.498,78.882,79.222,79.828,79.944,80.45,80.404,80.816,81.198,81.19,81.146,81.444,81.55,81.916,81.89,82.146,82.054,82.146,82.076,82.302,82.264,82.342,82.57,82.47,82.44,82.828,82.756,82.5,82.702,82.944,82.844,82.848,83.154,82.948,83.024,82.894,82.966,83.136,83.266,83.24,83.236,83.23,82.966,83.15,83.078,83.52,83.146,83.556,83.2,83.34,83.51,83.54,83.588,83.256,83.422,83.542,83.22,83.432,83.354,83.398,83.542,83.592,83.596,83.468,83.67,83.574,83.694,83.322,83.506,83.574,83.732,83.554,83.788,83.92,83.688,83.506,83.746,83.622,83.744,83.672,83.54,83.964,83.702,83.646,83.72,83.504,83.784,83.62,83.76,83.81,83.566,83.694,83.636,83.91,83.67,83.388,83.738,83.68,83.768,83.514,83.868,83.65,83.632,83.728,83.89,83.656,83.654,83.724,83.622,83.51,83.756,84.014,83.844,83.538,83.766,83.894,83.824,83.95,83.856,83.722,84.03,83.75,83.66,83.6,83.82,83.616,83.676,83.766,83.522,83.968,83.934,84.068,83.944,83.746,83.622,83.854,83.846,83.934,83.56,83.798,83.854,83.746,84.042,83.814,84.076,83.61,83.816,83.674,83.9,84.152,83.884,83.982,83.704,83.8,83.782,83.802,84.04,83.662,83.544,83.936,83.96,83.872,83.748,83.688,84.058,83.948,84.01,83.748,84.022,83.726,83.928,83.792,83.774,83.844,84.018,83.778,83.938,83.67,83.972,83.85,84.116,83.796,83.894,83.93,83.944,83.624,84.034,83.856,83.882,84.106,83.948,83.884,83.806
enrichment_googlenet_all,12.682,15.224,17.412,18.888,19.594,20.494,21.692,22.556,23.546,24.348,24.672,25.288,25.224,25.65,25.69,25.912,26.32,26.042,26.022,26.608,26.576,26.226,26.308,26.578,26.424,26.612,26.53,26.6,26.726,26.972,27.074,27.12,27.204,27.226,26.714,26.868,27.214,27.116,27.188,26.992,27.2,26.998,27.19,26.918,26.938,26.766,27.152,27.082,27.296,27.464,27.31,27.17,27.028,27.292,27.044,27.438,27.126,26.892,27.24,27.002,27.072,27.266,27.078,27.15,27.24,27.274,27.044,26.966,27.022,27.49,26.998,27.218,27.044,27.208,27.236,26.78,27.318,27.414,27.382,27.12,26.812,27.542,27.434,27.01,27.512,27.038,27.29,26.808,27.188,27.008,27.31,27.29,27.384,27.332,27.08,27.344,27.368,27.498,27.56,27.596,27.382,27.132,26.994,27.104,27.564,27.294,27.13,26.942,27.478,27.552,27.246,27.39,27.558,27.318,26.872,27.432,27.322,27.146,27.132,27.762,27.066,27.618,27.546,27.416,27.55,27.278,26.96,27.1,27.584,27.224,27.22,27.648,27.886,27.434,27.21,27.276,27.55,27.164,27.52,27.268,27.636,27.416,27.736,26.994,27.47,27.5,27.558,27.518,27.072,27.246,27.056,27.244,27.422,27.218,27.458,27.508,27.366,27.27,27.574,27.398,27.5,27.188,27.194,27.524,27.328,27.742,27.456,27.602,27.338,27.546,27.718,27.128,27.55,27.256,27.268,27.404,27.208,27.72,27.266,27.71,27.226,27.48,27.554,27.63,27.26,27.624,27.066,27.52,27.52,27.108,27.308,27.36,27.196,27.456,27.244,27.63,27.278,27.374,27.062,27.508
enrichment_vgg_vanilla,17.012,33.726,50.868,62.164,66.86,69.956,72.394,73.868,75.244,76.322,77.75,78.184,78.508,79.278,78.936,80.166,80.192,80.484,80.63,80.91,81.096,81.128,81.426,81.594,81.592,81.352,81.916,82.008,82.024,82.346,82.274,82.406,82.206,82.536,82.372,82.68,82.738,82.586,82.96,82.646,82.842,83.08,82.9,82.93,82.9,83.04,83.116,83.126,83.302,83.328,83.572,83.236,83.284,83.526,83.442,83.094,83.636,83.668,83.49,83.494,83.384,83.578,83.384,83.754,83.66,83.656,83.426,83.516,83.804,83.338,83.378,83.896,83.588,83.594,84.08,83.878,83.402,83.844,83.524,83.832,83.586,83.734,83.858,83.446,83.744,83.926,83.92,83.652,83.976,83.75,83.446,84.032,83.864,83.82,83.904,83.882,83.702,83.714,84.312,83.692,83.658,83.748,83.528,83.852,84.102,83.704,83.904,83.58,83.918,84.078,84.104,83.922,83.548,83.872,84.016,83.882,84.044,83.934,84.056,84.066,84.08,83.89,83.89,84.014,83.762,83.75,84.354,83.782,83.972,83.684,84.03,84.068,83.776,84.322,83.794,84.236,84.246,83.834,83.804,83.996,84.098,84.142,84.336,83.778,84.0,83.872,83.986,83.878,83.842,84.026,84.082,83.846,84.122,84.17,84.26,83.814,83.982,84.08,83.934,84.024,83.866,83.998,84.012,84.014,84.03,83.924,84.296,84.214,83.622,84.202,84.072,83.754,84.218,84.258,84.138,84.31,84.02,84.242,83.982,84.258,84.048,83.776,83.934,83.994,83.826,83.766,84.084,83.96,84.188,83.7,84.258,83.938,83.932,84.146,84.182,83.816,84.074,83.946,84.238,84.162
